"","RMSE","MAE","MAPE","MASE",""
"","RMSE","MAE","MAPE","MASE","WineMakerLoss"
"RF_400_7_10","0.512185593737772","0.38392205171131","7.23967268142066","0.602230669351074","69.8699251951648"
"RF_400_7_15","0.518507805607636","0.393178419995803","7.40619983123792","0.616750462738514","70.3728056083095"
"RF_400_7_20","0.525636891568977","0.401960485709291","7.55960937973663","0.630526252093006","74.086719599311"
"RF_400_8_5","0.504300258111124","0.372826171875","7.03972042410714","0.584825367647059","68.108144469246"
"RF_400_8_10","0.513554987704806","0.385238581969246","7.26218152842734","0.604295814853719","70.9007517685893"
"RF_400_8_15","0.515249120603194","0.389831125601829","7.33830294891637","0.611499804865614","70.0455491742261"
"RF_400_8_20","0.524082087346632","0.398404476263619","7.4878064145312","0.624948198060579","70.1741337005013"
"RF_400_9_5","0.504913718091531","0.373043229166667","7.03871754092262","0.585165849673203","66.7462173239087"
"RF_400_9_10","0.515712367308814","0.388014803447421","7.32070779928725","0.608650672074385","69.1379430965963"
"RF_400_9_15","0.519576156100012","0.393121737702402","7.39802430671697","0.616661549337101","70.8691040419773"
"RF_400_9_20","0.521240797393265","0.396966016581995","7.45812863749245","0.622691790716854","71.2846329371933"
"RF_400_10_5","0.506658707539468","0.375607942708333","7.09757843501984","0.589188929738562","66.8728201884921"
"RF_400_10_10","0.512663132579862","0.382831507316468","7.22738839322622","0.600520011476813","69.0782835987694"
"RF_400_10_15","0.51631313237611","0.390628656868305","7.35917444898541","0.612750834303224","69.2418588952899"
"RF_400_10_20","0.521459076769995","0.395238401595912","7.43358070726545","0.619981806424959","70.5269127415339"
"RF_400_11_5","0.50649230348397","0.374366536458333","7.06450818452381","0.587241625816994","66.3983324032738"
"RF_400_11_10","0.512486182856275","0.381032192460318","7.18878530240221","0.597697556800498","67.4173590044525"
"RF_400_11_15","0.516266240017125","0.390118244407502","7.34914245288855","0.611950187305886","69.9354807028186"
"RF_400_11_20","0.518128403458929","0.393376503641972","7.39641368860802","0.617061182183486","69.2338998696038"
"RF_500_2_5","0.508538697826921","0.383873958333333","7.26119296875","0.60215522875817","72.8812545138889"
"RF_500_2_10","0.515134338532788","0.394997889384921","7.45594819125567","0.619604532368503","75.805142656368"
"RF_500_2_15","0.522397257124504","0.403712808580308","7.60864709268492","0.633274993851464","74.9963239811032"
"RF_500_2_20","0.529244376922427","0.412785882771151","7.76941687559745","0.647507267092002","77.016851323265"
"RF_500_3_5","0.509655170437299","0.3842140625","7.2572574156746","0.602688725490196","70.3508339781746"
"RF_500_3_10","0.513813357531525","0.392240600198413","7.39725987014598","0.615279372860255","73.8576295729403"
"RF_500_3_15","0.520558015151537","0.400697992771118","7.54238802307563","0.628545871013518","74.7941023230407"
"RF_500_3_20","0.525990655086432","0.40666389772978","7.65537951835265","0.637904153301616","75.8271858428073"
"RF_500_4_5","0.507837393348829","0.38052375","7.18121790674603","0.5969","70.1536734623016"
"RF_500_4_10","0.516428269917919","0.392078100198412","7.3920860623937","0.615024470899471","72.2376725021258"
"RF_500_4_15","0.519865869737945","0.398654774531025","7.50393666461267","0.625340822793764","72.0739956184771"
"RF_500_4_20","0.522040150084898","0.403887199365929","7.59596185816271","0.633548548024987","72.4184952914483"
"RF_500_5_5","0.507912738007776","0.377806666666667","7.1365558655754","0.592637908496732","66.5926743551587"
"RF_500_5_10","0.517925819794443","0.391427586805556","7.38042615475009","0.614004057734205","70.5878445223923"
"RF_500_5_15","0.517946441116301","0.395479292807886","7.43623806468209","0.620359674992763","71.8849483422662"
"RF_500_5_20","0.522016762341919","0.400514101660052","7.53049936036799","0.628257414368709","72.0115441760551"
"RF_500_6_5","0.510893736572924","0.38006125","7.17977429315476","0.596174509803922","69.4839766369047"
"RF_500_6_10","0.515108622192654","0.38868314484127","7.32567963553477","0.609699050731404","68.2079515849395"
