Price,Beds,Baths,Cars,Area,SchoolZone,Auction,New,Subdivided
1056,4,2,2,849,No,Yes,No,No
1250,4,3,1,369,Yes,No,Yes,Yes
1150,2,1,1,954,Yes,No,No,No
555,2,1,1,348,Yes,Yes,No,Yes
839,3,2,2,240,No,Yes,Yes,Yes
1400,5,2,2,773,No,Yes,No,No
750,2,1,1,235,Yes,No,No,Yes
1050,3,2,2,250,Yes,No,Yes,Yes
1400,4,3,2,630,Yes,No,No,No
970,3,1,2,741,Yes,Yes,No,No
1405,4,2,2,965,Yes,Yes,No,No
1448,3,1,2,728,Yes,No,No,No
1745,5,3,2,760,No,No,Yes,No
1200,3,1,1,725,Yes,No,No,No
3000,8,4,4,1467,No,Yes,No,No
680,2,1,1,160,Yes,No,No,Yes
1310,6,2,2,650,Yes,No,No,No
1640,5,5,2,620,Yes,No,Yes,No
805,2,1,1,320,Yes,No,No,Yes
1391,4,2,2,675,No,No,No,No
902,3,2,2,327,Yes,Yes,No,Yes
3700,6,5,3,731,Yes,No,Yes,No
1550,4,2,2,960,Yes,No,No,No
1500,4,3,2,649,Yes,No,No,No
1078,3,1,4,721,Yes,No,No,No
790,3,2,1,228,Yes,No,No,Yes
1446,5,2,2,1055,Yes,No,No,No
1555,4,3,2,1076,Yes,No,No,No
980,3,1,2,702,No,Yes,No,No
1530,4,3,2,475,Yes,No,Yes,Yes
1350,4,2,2,727,Yes,No,No,No
1235,4,1,2,864,Yes,No,No,No
1275,4,2,4,1035,Yes,No,No,No
1050,3,1,2,717,Yes,No,No,No
1605,4,1,2,687,Yes,No,No,No
1085,3,2,2,724,No,No,No,No
1070,3,2,2,283,Yes,No,No,Yes
1325,4,2,2,695,Yes,No,No,No
1486,5,3,3,702,Yes,No,No,No
1190,5,2,3,681,Yes,Yes,No,No
1805,5,2,2,960,Yes,No,No,No
1060,3,2,2,724,No,Yes,No,No
995,3,1,1,691,No,Yes,No,No
940,4,2,2,303,Yes,Yes,Yes,Yes
1481,3,1,3,722,Yes,Yes,No,No
1310,3,2,2,440,Yes,Yes,No,Yes
1200,3,2,2,420,Yes,No,Yes,Yes
980,3,2,2,299,Yes,No,No,Yes
1355,3,1,1,831,Yes,No,No,No
1240,4,2,1,648,Yes,No,No,No
890,3,1,2,292,Yes,Yes,No,Yes
1028,4,1,2,725,Yes,No,No,No
931,3,1,2,658,No,Yes,No,No
1265,3,2,2,791,Yes,No,No,No
1460,5,3,2,733,Yes,Yes,No,No
850,2,2,2,260,Yes,Yes,Yes,Yes
1160,4,2,1,780,Yes,Yes,No,No
1210,3,2,2,312,Yes,Yes,No,No
1301,4,3,3,766,No,Yes,No,No
1790,3,1,1,872,Yes,No,No,No
2550,5,3,2,766,Yes,Yes,No,No
1320,4,3,2,730,Yes,Yes,No,No
1300,5,3,2,400,Yes,Yes,Yes,Yes
1780,5,3,2,848,Yes,Yes,No,No
1175,6,2,2,652,No,Yes,No,No
1325,5,3,4,812,Yes,Yes,No,No
2580,5,4,2,739,Yes,Yes,Yes,No
740,2,1,1,196,Yes,Yes,No,Yes
1350,6,3,2,660,Yes,Yes,No,No
2200,5,5,2,722,Yes,No,No,No
1495,3,1,1,733,Yes,Yes,No,No
1472,4,2,2,750,Yes,Yes,No,No
937,4,1,6,700,No,No,No,No
1110,4,2,1,724,Yes,Yes,No,No
730,3,1,1,350,Yes,Yes,No,Yes
